Species	Collection/Museum No.	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
Aphelaspis subditus	ICS-1480	26.162	15.04	26.09	15.714	26.018	16.532	25.831	18.986	25.774	19.56	NA	NA	27.726	16.288	24.253	16.747	27.482	16.948	23.894	18.125	27.582	18.355	24.769	18.699	NA	NA	24.798	19.072	NA	NA
Aphelaspis subditus	ICS-1480	27.366	12.607	27.352	13.476	27.295	14.687	27.238	18.434	27.223	19.118	24.431	13.975	NA	NA	24.673	15.286	29.759	15.357	24.446	17.024	NA	NA	25.599	17.978	28.862	18.064	25.913	18.648	28.776	18.619
Aphelaspis subditus	ICS-1480	19.957	11.247	19.93	12.074	19.888	13.452	19.806	16.994	19.819	17.683	16.842	12.694	NA	NA	17.104	13.92	22.397	13.934	16.76	15.795	22.769	15.753	18.152	16.58	21.322	16.636	18.276	17.27	21.28	17.311
Aphelaspis subditus	ICS-1480	27.177	13.105	27.191	13.682	27.235	14.446	27.235	16.782	27.263	17.359	25.49	14.014	NA	NA	25.562	14.778	28.82	14.807	25.288	16.061	29.022	16.104	26.211	16.522	28.128	16.494	26.254	16.94	28.128	16.926
Aphelaspis subditus	ICS-1480	25.391	13.433	25.405	14.018	25.405	14.797	25.363	17.233	25.363	17.832	NA	NA	27.228	14.547	23.72	15.145	27.033	15.159	NA	NA	27.284	16.482	24.207	17.025	26.449	16.997	24.305	17.484	26.435	17.512
Aphelaspis subditus	ICS-2510	6.967	6.903	6.956	7.521	6.935	8.245	6.85	11.441	6.861	12.198	4.453	8.16	9.268	8.267	NA	NA	9.055	9.14	4.496	10.6	9.204	10.781	5.295	11.239	8.32	11.239	NA	NA	8.267	11.963
Aphelaspis subditus	ICS-2510	4.935	3.25	4.902	3.764	4.836	4.453	4.716	7.211	4.727	7.845	NA	NA	6.937	4.475	2.812	5.044	6.751	5.165	2.659	6.478	6.904	6.631	NA	NA	6.04	7.178	3.381	7.605	5.92	7.67
Aphelaspis subditus	ICS-2510	6.616	1.787	6.616	2.111	6.606	2.749	6.637	4.913	6.669	5.477	NA	NA	8.32	2.707	5.164	3.178	8.048	3.23	NA	NA	8.174	4.38	5.634	4.714	7.547	4.798	NA	NA	7.526	5.111
Aphelaspis subditus	ICS-2510	8.707	2.76	8.749	3.145	8.78	3.927	8.812	6.291	8.853	6.812	NA	NA	10.895	3.791	7.072	4.583	10.572	4.416	NA	NA	10.645	5.77	7.697	6.051	9.874	5.989	7.697	6.468	9.822	6.499
Aphelaspis subditus	ICS-2510	4.844	3.706	4.865	4.291	4.844	5.324	4.886	8.822	4.938	9.646	2.067	5.074	7.579	5.116	2.297	6.086	7.318	6.17	2.119	7.945	7.527	8.049	3.226	8.613	6.441	8.696	3.257	9.292	6.421	9.333
